pt1,418275.090,4239244.526,954.068,
pt2,418273.962,4239243.977,954.068,
pt3,418271.139,4239245.027,954.217,
pt4,418270.081,4239244.388,954.190,
pt5,418267.332,4239245.210,954.255,
pt6,418265.056,4239244.485,954.316,
pt7,418262.762,4239245.208,954.419,
pt8,418258.944,4239244.403,954.485,
pt9,418256.702,4239245.103,954.654,
pt10,418253.802,4239244.331,954.606,
pt11,418250.919,4239245.125,954.736,
pt12,418247.577,4239244.363,954.878,
pt13,418245.182,4239244.940,954.892,
pt14,418242.595,4239244.186,954.940,
pt15,418238.918,4239244.555,955.159,
pt16,418235.300,4239243.523,955.340,
pt17,418232.439,4239243.917,955.469,
pt18,418229.604,4239243.037,955.517,
pt19,418227.102,4239243.541,955.608,
pt20,418224.537,4239242.582,955.689,
pt21,418217.800,4239241.895,956.144,
pt22,418215.374,4239242.287,956.200,
pt23,418215.377,4239242.299,956.184,
pt24,418212.297,4239241.100,956.319,
pt25,418208.445,4239241.450,956.712,
pt26,418205.317,4239240.559,956.895,
pt27,418200.927,4239240.987,957.310,
pt28,418198.084,4239239.977,957.488,
pt29,418195.034,4239240.393,957.920,
pt30,418192.230,4239239.428,958.087,
pt31,418189.707,4239239.858,958.273,
pt32,418187.777,4239238.825,958.602,
pt33,418186.225,4239239.813,958.874,
pt34,418184.226,4239238.862,958.963,
pt35,418181.891,4239239.179,959.379,
pt36,418180.745,4239238.382,959.503,
pt37,418178.929,4239238.928,959.876,
pt38,418176.849,4239238.021,960.127,
pt39,418174.196,4239238.511,960.519,
pt40,418171.472,4239237.689,960.930,
pt41,418169.315,4239238.361,961.374,
pt42,418166.960,4239237.433,961.639,
pt43,418163.704,4239237.872,962.204,
pt44,418161.254,4239236.859,962.592,
pt45,418158.044,4239237.428,963.091,
pt46,418154.923,4239236.356,963.687,
pt47,418152.795,4239237.315,964.024,
pt48,418150.368,4239236.119,964.335,
pt49,418147.980,4239236.801,964.669,
pt50,418146.202,4239235.946,964.943,
pt51,418143.267,4239236.568,965.194,
pt52,418140.632,4239235.662,965.573,
pt53,418137.542,4239236.389,965.881,
pt54,418135.323,4239235.649,966.193,
pt55,418133.094,4239236.180,966.386,
pt56,418130.971,4239235.713,966.730,
pt57,418127.908,4239236.654,966.988,
pt58,418125.927,4239236.252,967.220,
pt59,418123.943,4239236.585,967.432,
pt60,418122.419,4239235.198,967.518,
pt61,418119.813,4239235.327,967.803,
pt62,418117.691,4239234.425,968.137,
pt63,418115.157,4239234.843,968.394,
pt64,418112.833,4239234.306,968.640,
pt65,418110.783,4239235.212,968.769,
pt66,418109.586,4239234.839,968.794,
pt67,418108.042,4239235.887,968.952,
pt68,418106.393,4239236.126,969.168,
pt69,418105.741,4239237.439,969.331,
pt70,418104.437,4239237.955,969.415,
pt71,418103.940,4239239.433,969.554,
pt72,418102.669,4239240.242,969.634,
pt73,418102.307,4239241.558,969.801,
pt74,418101.253,4239241.943,969.900,
pt75,418100.650,4239243.603,970.031,
pt76,418099.476,4239244.171,970.113,
pt77,418098.679,4239245.674,970.317,
pt78,418097.295,4239246.332,970.450,
pt79,418096.740,4239247.597,970.574,
pt80,418095.192,4239248.252,970.745,
pt81,418094.517,4239249.710,970.944,
pt82,418092.986,4239250.435,971.031,
pt83,418092.066,4239252.073,971.213,
pt84,418090.699,4239252.603,971.311,
pt85,418089.735,4239254.328,971.441,
pt86,418088.299,4239254.738,971.578,
pt87,418087.294,4239256.460,971.807,
pt88,418085.611,4239257.075,971.832,
pt89,418084.503,4239258.659,972.054,
pt90,418083.182,4239259.109,972.161,
pt91,418082.724,4239260.406,972.260,
pt92,418081.603,4239260.694,972.441,
pt93,418081.424,4239261.705,972.585,
pt94,418080.592,4239261.597,972.517,
pt95,418079.616,4239262.427,972.596,
pt96,418079.794,4239263.031,972.672,
pt97,418078.629,4239263.184,972.796,
pt98,418078.179,4239264.286,972.846,
pt99,418076.920,4239264.579,972.930,
pt100,418076.140,4239265.952,973.066,
pt101,418074.636,4239266.535,973.240,
pt102,418074.023,4239267.797,973.421,
pt103,418072.455,4239268.274,973.676,
pt104,418071.561,4239269.736,973.803,
pt105,418070.005,4239270.260,973.961,
pt106,418069.265,4239271.675,974.131,
pt107,418067.824,4239272.196,974.319,
pt108,418067.040,4239273.747,974.496,
pt109,418065.453,4239274.350,974.604,
pt110,418064.879,4239275.558,974.709,
pt111,418063.355,4239275.950,974.806,
pt112,418062.461,4239277.481,975.058,
pt113,418060.900,4239277.957,975.199,
pt114,418060.368,4239279.402,975.268,
pt115,418058.728,4239280.000,975.471,
pt116,418058.221,4239281.606,975.580,
pt117,418056.496,4239282.342,975.721,
pt118,418055.936,4239283.824,975.910,
pt119,418054.497,4239284.078,975.991,
pt120,418054.371,4239284.921,976.131,
pt121,418045.769,4239283.543,976.751,
pt122,418045.065,4239283.521,976.786,
pt123,418045.138,4239284.873,976.828,
pt124,418044.075,4239285.343,976.870,
pt125,418044.057,4239286.682,976.925,
pt126,418042.678,4239287.573,976.989,
pt127,418042.412,4239289.304,977.154,
pt128,418041.229,4239290.056,977.215,
pt129,418041.009,4239291.675,977.317,
pt130,418039.597,4239292.474,977.414,
pt131,418038.755,4239294.255,977.511,
pt132,418037.210,4239294.981,977.618,
pt133,418036.225,4239296.712,977.802,
pt134,418034.837,4239297.156,977.913,
pt135,418034.314,4239298.495,978.014,
pt136,418032.887,4239298.979,978.142,
pt137,418031.835,4239300.945,978.366,
pt138,418030.244,4239301.464,978.440,
pt139,418029.429,4239303.295,978.551,
