pile1,355240.052,4348685.717,0.000,
pile2,355240.052,4348688.392,0.000,
pile3,355242.358,4348685.717,0.000,
pile4,355242.358,4348688.392,0.000,
pile5,355245.820,4348685.717,0.000,
pile6,355245.820,4348688.392,0.000,
pile7,355249.290,4348685.717,0.000,
pile8,355249.290,4348688.392,0.000,
pile9,355252.762,4348685.717,0.000,
pile10,355252.762,4348688.392,0.000,
pile11,355256.223,4348685.717,0.000,
pile12,355256.223,4348688.392,0.000,
pile13,355259.675,4348685.717,0.000,
pile14,355259.675,4348688.392,0.000,
pile15,355263.126,4348685.717,0.000,
pile16,355263.126,4348688.392,0.000,
pile17,355265.424,4348685.717,0.000,
pile18,355265.424,4348688.392,0.000,
pile19,355267.725,4348685.717,0.000,
pile20,355267.725,4348688.392,0.000,
pile21,355270.031,4348685.717,0.000,
pile22,355270.031,4348688.392,0.000,
pile23,355225.496,4348678.117,0.000,
pile24,355225.496,4348680.792,0.000,
pile25,355227.806,4348678.117,0.000,
pile26,355227.806,4348680.792,0.000,
pile27,355231.271,4348678.117,0.000,
pile28,355231.271,4348680.792,0.000,
pile29,355234.721,4348678.117,0.000,
pile30,355234.721,4348680.792,0.000,
pile31,355238.157,4348678.117,0.000,
pile32,355238.157,4348680.792,0.000,
pile33,355241.599,4348678.117,0.000,
pile34,355241.599,4348680.792,0.000,
pile35,355245.046,4348678.117,0.000,
pile36,355245.046,4348680.792,0.000,
pile37,355248.497,4348678.117,0.000,
pile38,355248.497,4348680.792,0.000,
pile39,355251.948,4348678.117,0.000,
pile40,355251.948,4348680.792,0.000,
pile41,355255.401,4348678.117,0.000,
pile42,355255.401,4348680.792,0.000,
pile43,355258.862,4348678.117,0.000,
pile44,355258.862,4348680.792,0.000,
pile45,355262.324,4348678.117,0.000,
pile46,355262.324,4348680.792,0.000,
pile47,355265.781,4348678.117,0.000,
pile48,355265.781,4348680.792,0.000,
pile49,355269.246,4348678.117,0.000,
pile50,355269.246,4348680.792,0.000,
pile51,355271.556,4348678.117,0.000,
pile52,355271.556,4348680.792,0.000,
pile53,355226.971,4348670.517,0.000,
pile54,355226.971,4348673.192,0.000,
pile55,355229.284,4348670.517,0.000,
pile56,355229.284,4348673.192,0.000,
pile57,355232.751,4348670.517,0.000,
pile58,355232.751,4348673.192,0.000,
pile59,355236.204,4348670.517,0.000,
pile60,355236.204,4348673.192,0.000,
pile61,355239.639,4348670.517,0.000,
pile62,355239.639,4348673.192,0.000,
pile63,355243.065,4348670.517,0.000,
pile64,355243.065,4348673.192,0.000,
pile65,355246.494,4348670.517,0.000,
pile66,355246.494,4348673.192,0.000,
pile67,355249.938,4348670.517,0.000,
pile68,355249.938,4348673.192,0.000,
pile69,355253.387,4348670.517,0.000,
pile70,355253.387,4348673.192,0.000,
pile71,355256.826,4348670.517,0.000,
pile72,355256.826,4348673.192,0.000,
pile73,355260.271,4348670.517,0.000,
pile74,355260.271,4348673.192,0.000,
pile75,355263.733,4348670.517,0.000,
pile76,355263.733,4348673.192,0.000,
pile77,355267.194,4348670.517,0.000,
pile78,355267.194,4348673.192,0.000,
pile79,355270.665,4348670.517,0.000,
pile80,355270.665,4348673.192,0.000,
pile81,355272.983,4348670.517,0.000,
pile82,355272.983,4348673.192,0.000,
pile83,355228.453,4348662.917,0.000,
pile84,355228.453,4348665.592,0.000,
pile85,355230.759,4348662.917,0.000,
pile86,355230.759,4348665.592,0.000,
pile87,355234.208,4348662.917,0.000,
pile88,355234.208,4348665.592,0.000,
pile89,355237.653,4348662.917,0.000,
pile90,355237.653,4348665.592,0.000,
pile91,355241.092,4348662.917,0.000,
pile92,355241.092,4348665.592,0.000,
pile93,355244.526,4348662.917,0.000,
pile94,355244.526,4348665.592,0.000,
pile95,355247.958,4348662.917,0.000,
pile96,355247.958,4348665.592,0.000,
pile97,355251.396,4348662.917,0.000,
pile98,355251.396,4348665.592,0.000,
pile99,355254.845,4348662.917,0.000,
pile100,355254.845,4348665.592,0.000,
pile101,355258.289,4348662.917,0.000,
pile102,355258.289,4348665.592,0.000,
pile103,355261.735,4348662.917,0.000,
pile104,355261.735,4348665.592,0.000,
pile105,355265.191,4348662.917,0.000,
pile106,355265.191,4348665.592,0.000,
pile107,355268.659,4348662.917,0.000,
pile108,355268.659,4348665.592,0.000,
pile109,355272.134,4348662.917,0.000,
pile110,355272.134,4348665.592,0.000,
pile111,355274.453,4348662.917,0.000,
pile112,355274.453,4348665.592,0.000,
pile113,355009.634,4348632.517,0.000,
pile114,355009.634,4348635.192,0.000,
pile115,355011.942,4348632.517,0.000,
pile116,355011.942,4348635.192,0.000,
pile117,355015.398,4348632.517,0.000,
pile118,355015.398,4348635.192,0.000,
