pt1,481597.4864547609,4210289.730895881,185.0308,
pt2,481597.7730415323,4210291.078536003,185.0985,
pt3,481598.0398502451,4210291.758270297,185.0355,
pt4,481598.4754599852,4210292.713169196,185.1051,
pt5,481597.6984722043,4210293.373789179,185.0791,
pt6,481597.2590690766,4210294.056032536,185.1152,
pt7,481596.4857075054,4210294.506573473,185.1377,
pt8,481595.364273518,4210295.084380229,185.1419,
pt9,481594.4320818348,4210295.597040382,185.1455,
pt10,481593.494255274,4210296.140042061,185.1784,
pt11,481592.7679263144,4210296.694775981,185.2217,
pt12,481591.8668418773,4210297.253228617,185.2415,
pt13,481591.069150338,4210297.744878394,185.2822,
pt14,481590.0796970083,4210298.351979962,185.3233,
pt15,481589.0586728917,4210298.967104274,185.3698,
pt16,481587.9419127684,4210299.671946099,185.4173,
pt17,481587.0433220251,4210300.233352961,185.4479,
pt18,481585.983916916,4210300.88462402,185.5017,
pt19,481585.7719975482,4210302.317516648,185.4952,
pt20,481586.4249183192,4210303.333874325,185.4869,
pt21,481587.2672943427,4210304.641618223,185.4955,
pt22,481588.1188734042,4210305.814162414,185.5037,
pt23,481589.8638034328,4210305.390667278,185.5537,
pt24,481591.5933053742,4210304.281141046,185.6191,
pt25,481592.8368073534,4210303.551795519,185.6693,
pt26,481594.0446522538,4210302.833812541,185.7687,
pt27,481595.6244908502,4210302.026232956,185.8436,
pt28,481597.0866396127,4210302.804266965,185.9105,
pt29,481597.5433128881,4210303.500776046,185.8845,
pt30,481597.7088209917,4210305.704511474,185.9036,
pt31,481596.356952355,4210306.694477209,185.986,
pt32,481594.7822059828,4210307.815127803,186.0614,
pt33,481592.9293133673,4210309.071397013,186.1725,
pt34,481591.4210662214,4210310.042110874,186.2384,
pt35,481589.8158934496,4210311.093484361,186.318,
pt36,481588.4843902,4210311.968384353,186.4229,
pt37,481586.8015177065,4210313.327456777,186.4231,
pt38,481594.4765657324,4210320.886240312,186.6274,
pt39,481596.1430390152,4210320.955744401,186.6959,
pt40,481597.2059022569,4210320.412280026,186.7006,
pt41,481598.3602500079,4210319.839947061,186.6854,
pt42,481599.5768599942,4210319.250462076,186.6718,
pt43,481600.7196419145,4210318.672054378,186.6905,
pt44,481601.9394433897,4210318.070727963,186.6872,
pt45,481603.3541220428,4210317.373730176,186.6833,
pt46,481604.3247092158,4210316.897230842,186.6944,
pt47,481605.5481379676,4210317.525085268,186.7125,
pt48,481606.6010225121,4210317.75055771,186.7342,
pt49,481607.6822722483,4210317.97337722,186.7402,
pt50,481608.9671063908,4210318.266383681,186.7719,
pt51,481610.792965033,4210317.999157117,186.8143,
pt52,481612.5708018836,4210317.708550585,186.8032,
pt53,481613.9875279435,4210318.319331465,186.8305,
pt54,481613.4739768454,4210319.655443118,186.8299,
pt55,481612.1551326687,4210321.026640878,186.8216,
pt56,481612.6065918076,4210322.531833911,186.8036,
pt57,481613.1515939869,4210324.536481384,186.782,
pt58,481615.2604062581,4210323.535773917,186.8904,
pt59,481617.5379743406,4210322.596449706,186.8961,
pt60,481618.6851157112,4210324.164997626,186.9011,
pt61,481619.0550147318,4210325.166643659,186.9357,
pt62,481619.6304573656,4210326.592229567,186.9571,
pt63,481620.2449810501,4210327.836503522,186.9895,
pt64,481620.5835961009,4210329.105803497,187.0121,
pt65,481620.7142626912,4210330.380744561,187.0031,
pt66,481619.992068655,4210332.262476079,186.9838,
pt67,481620.2609800798,4210334.145692823,186.9942,
pt68,481618.0774578316,4210330.376834054,186.9653,
pt69,481616.5375291008,4210329.605259331,186.9382,
pt70,481617.8197345379,4210327.610766304,186.9413,
