pt1,481597.4864547609,4210289.730895881,185.0308,
pt2,481597.7730415323,4210291.078536003,185.0985,
pt3,481598.0398502451,4210291.758270297,185.0355,
pt4,481598.4754599852,4210292.713169196,185.1051,
pt5,481597.6984722043,4210293.373789179,185.0791,
pt6,481597.2590690766,4210294.056032536,185.1152,
pt7,481596.4857075054,4210294.506573473,185.1377,
pt8,481595.364273518,4210295.084380229,185.1419,
pt9,481594.4320818348,4210295.597040382,185.1455,
pt10,481593.494255274,4210296.140042061,185.1784,
pt11,481592.7679263144,4210296.694775981,185.2217,
pt12,481591.8668418773,4210297.253228617,185.2415,
pt13,481591.069150338,4210297.744878394,185.2822,
pt14,481590.0796970083,4210298.351979962,185.3233,
pt15,481589.0586728917,4210298.967104274,185.3698,
pt16,481587.9419127684,4210299.671946099,185.4173,
pt17,481587.0433220251,4210300.233352961,185.4479,
pt18,481585.983916916,4210300.88462402,185.5017,
pt19,481585.7719975482,4210302.317516648,185.4952,
pt20,481586.4249183192,4210303.333874325,185.4869,
pt21,481587.2672943427,4210304.641618223,185.4955,
pt22,481588.1188734042,4210305.814162414,185.5037,
pt23,481589.8638034328,4210305.390667278,185.5537,
pt24,481591.5933053742,4210304.281141046,185.6191,
pt25,481592.8368073534,4210303.551795519,185.6693,
pt26,481594.0446522538,4210302.833812541,185.7687,
pt27,481595.6244908502,4210302.026232956,185.8436,
pt28,481597.0866396127,4210302.804266965,185.9105,
pt29,481597.5433128881,4210303.500776046,185.8845,
pt30,481597.7088209917,4210305.704511474,185.9036,
pt31,481596.356952355,4210306.694477209,185.986,
pt32,481594.7822059828,4210307.815127803,186.0614,
pt33,481592.9293133673,4210309.071397013,186.1725,
pt34,481591.4210662214,4210310.042110874,186.2384,
pt35,481589.8158934496,4210311.093484361,186.318,
pt36,481588.4843902,4210311.968384353,186.4229,
pt37,481586.8015177065,4210313.327456777,186.4231,
pt38,481594.4765657324,4210320.886240312,186.6274,
pt39,481585.6157656598,4210315.223913246,186.4006,
pt40,481584.970051236,4210316.380762586,186.4188,
pt41,481584.2127690428,4210317.610905098,186.4037,
pt42,481583.6721609792,4210318.748101751,186.4111,
pt43,481582.6146036903,4210319.636253496,186.4022,
pt44,481581.4727572844,4210320.50110877,186.3923,
pt45,481580.5771182703,4210321.399994603,186.4049,
pt46,481579.426057037,4210322.002833894,186.3927,
pt47,481578.2743017814,4210322.752505589,186.4094,
pt48,481577.3156077054,4210323.510066378,186.4211,
pt49,481576.2689329597,4210324.032969882,186.4012,
pt50,481575.1564324364,4210324.809921616,186.3919,
pt51,481573.9815298538,4210325.606615416,186.3873,
pt52,481572.7009860167,4210326.314413414,186.395,
pt53,481571.5319472095,4210327.051734522,186.4032,
pt54,481569.7747758716,4210328.079038664,186.3951,
pt55,481567.9574535606,4210329.151415371,186.4079,
pt56,481566.5138789405,4210330.003635279,186.4172,
pt57,481565.2006781109,4210330.756259306,186.4277,
pt58,481563.6099282814,4210331.64986273,186.439,
pt59,481562.1094646463,4210332.501840866,186.4433,
pt60,481560.6827217842,4210333.294294026,186.4587,
pt61,481559.3060626166,4210334.051868808,186.4587,
pt62,481557.6048046508,4210334.968651095,186.4566,
pt63,481555.5037544988,4210336.09917761,186.4601,
pt64,481554.4686793168,4210336.640922038,186.4821,
pt65,481552.7679368975,4210337.591360783,186.4908,
pt66,481551.2176709721,4210338.472300717,186.4949,
pt67,481550.0300997339,4210339.160662825,186.527,
pt68,481548.8412798327,4210339.879354038,186.5293,
pt69,481550.112128527,4210337.981034,186.4881,
pt70,481551.5992384274,4210336.914202197,186.4815,
pt71,481552.7242086137,4210336.025895179,186.4902,
pt72,481554.1264168187,4210335.510694113,186.4289,
pt73,481555.329130495,4210335.052346185,186.4521,
pt74,481557.0587231119,4210334.379969713,186.4709,
pt75,481558.0966701191,4210333.292141357,186.4869,
pt76,481558.4259223275,4210331.947376054,186.4428,
pt77,481557.9236755556,4210330.755555551,186.3521,
pt78,481557.4735078074,4210329.701386112,186.2543,
pt79,481556.7629309345,4210328.670916165,186.159,
pt80,481556.0219565704,4210327.519574731,186.0715,
pt81,481555.3445536158,4210326.41302891,186.0205,
pt82,481554.3298852372,4210324.709562573,185.8886,
pt83,481552.9312826345,4210322.204761765,185.826,
pt84,481552.132646129,4210320.970517786,185.7053,
pt85,481551.550633442,4210319.165113513,185.5818,
pt86,481551.1562124359,4210317.60227888,185.4733,
pt87,481551.087133782,4210315.232635713,185.4388,
pt88,481552.1157514563,4210313.440636992,185.4256,
pt89,481553.5411424765,4210312.566078501,185.3924,
pt90,481554.8797674159,4210311.737760017,185.3415,
pt91,481556.2341621102,4210310.897758525,185.3418,
pt92,481557.3921972024,4210310.144002816,185.3579,
pt93,481558.9166787936,4210309.175466019,185.3072,
pt94,481560.3543888738,4210308.249844546,185.3261,
pt95,481561.9045772297,4210307.265904771,185.3361,
pt96,481564.0951467903,4210305.943782679,185.3169,
pt97,481566.2960109532,4210304.842622379,185.3091,
pt98,481567.8806872783,4210304.107882094,185.2874,
pt99,481569.8545136167,4210303.238385915,185.2759,
pt100,481573.5176960078,4210301.68440125,185.2556,
