[INFO] [1778284362.481545920] [remote_control_node]: Parsed point: id='pile51', x=355271.556000000, y=4348678.117000000, z=0.000000000
[INFO] [1778284362.481563104] [remote_control_node]: Parsed point: id='pile52', x=355271.556000000, y=4348680.792000000, z=0.000000000
[INFO] [1778284362.481580384] [remote_control_node]: Parsed point: id='pile53', x=355226.971000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481597216] [remote_control_node]: Parsed point: id='pile54', x=355226.971000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.481613824] [remote_control_node]: Parsed point: id='pile55', x=355229.284000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481635328] [remote_control_node]: Parsed point: id='pile56', x=355229.284000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.481653824] [remote_control_node]: Parsed point: id='pile57', x=355232.751000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481670912] [remote_control_node]: Parsed point: id='pile58', x=355232.751000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.481688032] [remote_control_node]: Parsed point: id='pile59', x=355236.204000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481704800] [remote_control_node]: Parsed point: id='pile60', x=355236.204000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.481722048] [remote_control_node]: Parsed point: id='pile61', x=355239.639000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481761280] [remote_control_node]: Parsed point: id='pile62', x=355239.639000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.481780768] [remote_control_node]: Parsed point: id='pile63', x=355243.065000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481798688] [remote_control_node]: Parsed point: id='pile64', x=355243.065000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.481825664] [remote_control_node]: Parsed point: id='pile65', x=355246.494000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481845728] [remote_control_node]: Parsed point: id='pile66', x=355246.494000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.481863552] [remote_control_node]: Parsed point: id='pile67', x=355249.938000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481880640] [remote_control_node]: Parsed point: id='pile68', x=355249.938000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.481897888] [remote_control_node]: Parsed point: id='pile69', x=355253.387000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481914880] [remote_control_node]: Parsed point: id='pile70', x=355253.387000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.481932160] [remote_control_node]: Parsed point: id='pile71', x=355256.826000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481957920] [remote_control_node]: Parsed point: id='pile72', x=355256.826000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.481981088] [remote_control_node]: Parsed point: id='pile73', x=355260.271000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.481999616] [remote_control_node]: Parsed point: id='pile74', x=355260.271000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.482017184] [remote_control_node]: Parsed point: id='pile75', x=355263.733000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.482034432] [remote_control_node]: Parsed point: id='pile76', x=355263.733000000, y=4348673.192000000, z=0.000000000
[INFO] [1778284362.482051392] [remote_control_node]: Parsed point: id='pile77', x=355267.194000000, y=4348670.517000000, z=0.000000000
[INFO] [1778284362.482068544] [remote_control_node]: Parsed point: id='pile78', x=355267.194000000, y=4348673.192000000, z=0.000000000
